template_type,level,field,precision,recall,f1,tp,fp,fn
India_Bank_Statement_Digital_Type1,clean,account_holder,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,account_number,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,bank_name,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,closing_balance,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,end_date,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,ifsc_code,0.800,0.800,0.800,4,1,1
India_Bank_Statement_Digital_Type1,clean,micr_code,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,opening_balance,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,start_date,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,clean,statement_date,0.000,0.000,0.000,0,5,5
India_Bank_Statement_Digital_Type1,heavy,account_holder,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,account_number,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,bank_name,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,closing_balance,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,end_date,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,ifsc_code,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,micr_code,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,opening_balance,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,start_date,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,heavy,statement_date,0.000,0.000,0.000,0,0,5
India_Bank_Statement_Digital_Type1,light,account_holder,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,light,account_number,0.000,0.000,0.000,0,5,5
India_Bank_Statement_Digital_Type1,light,bank_name,1.000,1.000,1.000,5,0,0
India_Bank_Statement_Digital_Type1,light,closing_balance,0.000,0.000,0.000,0,5,5
India_Bank_Statement_Digital_Type1,light,end_date,0.600,0.600,0.600,3,2,2
